Time;SP_500;Gold;Vix;RF;P1_risk;P1_Currency
19.09.03 00:00;1036.22;381.85;17.69;0.88;41.60150391;2.145357448
22.09.03 00:00;1022.67;387.1;19.53;0.88;40.73012763;2.15985199
23.09.03 00:00;1028.9;384.75;19.64;0.89;40.4793473;2.155148497
24.09.03 00:00;1009.8;388.85;20.35;0.89;40.38648561;2.165118987
25.09.03 00:00;1003.64;385.35;21.655;0.88;40.0086226;2.166944433
26.09.03 00:00;997.18;380.85;22.29;0.87;41.2010452;2.159891585
29.09.03 00:00;1006.62;382.25;22.245;0.87;41.10916924;2.178071579
30.09.03 00:00;996;385.35;22.645;0.87;41.37398129;2.182260511
01.10.03 00:00;1017.76;384.75;21.905;0.88;41.73872366;2.194308903
02.10.03 00:00;1020.15;382.85;21.08;0.86;41.67488312;2.192953119
03.10.03 00:00;1029.83;369.55;19.52;0.87;41.57332887;2.174767063
06.10.03 00:00;1034.27;372.95;20.07;0.87;41.46455365;2.191364974
07.10.03 00:00;1039.01;376.45;19.77;0.85;41.47611044;2.198343558
08.10.03 00:00;1033.67;375.25;19.345;0.88;40.98088272;2.20164421
09.10.03 00:00;1038.49;370.05;18.77;0.9;40.46219665;2.197358237
10.10.03 00:00;1038.19;373.05;18.67;0.89;39.81322311;2.204818325
14.10.03 00:00;1049.33;375.25;17.495;0.89;39.5256757;2.199771955
15.10.03 00:00;1046.66;372.95;17.47;0.9;37.76630056;2.188580165
16.10.03 00:00;1049.77;371.65;17.455;0.9;36.41893756;2.188059419
17.10.03 00:00;1039.12;371.65;17.41;0.9;36.96457471;2.199749776
20.10.03 00:00;1044.47;373.35;17.555;0.9;36.21499639;2.192232494
21.10.03 00:00;1045.95;380.75;16.71;0.92;34.73209735;2.203225878
22.10.03 00:00;1030.46;385.85;17.54;0.92;34.40898939;2.224759788
23.10.03 00:00;1033.59;384.25;17.995;0.92;34.67699404;2.223125709
24.10.03 00:00;1028.77;388.55;18.175;0.92;34.41679983;2.222590829
27.10.03 00:00;1030.9;387.95;17.96;0.95;34.64097005;2.221804528
28.10.03 00:00;1046.52;382.85;17.33;0.98;34.51490589;2.216015538
29.10.03 00:00;1048.16;386.5;16.68;0.98;34.31487109;2.214729739
30.10.03 00:00;1046.74;383.55;16.385;0.97;34.08302964;2.211229514
31.10.03 00:00;1050.42;384.25;15.99;0.96;34.12387142;2.20979486
03.11.03 00:00;1058.87;376.65;16.46;0.97;33.82318567;2.180403982
04.11.03 00:00;1053.19;379.55;16.615;0.97;33.78433151;2.190649479
05.11.03 00:00;1051.85;381.35;16.935;0.96;33.81144645;2.186964876
06.11.03 00:00;1057.97;379.95;16.995;0.95;33.92857394;2.179222065
07.11.03 00:00;1053.26;383.05;16.715;0.95;33.99726846;2.195956509
10.11.03 00:00;1047.03;385.95;17.705;0.92;34.17989943;2.197247668
12.11.03 00:00;1058.46;394.05;17.2;0.92;34.55765156;2.214010557
13.11.03 00:00;1058.22;394.65;16.78;0.91;34.15439957;2.231732127
14.11.03 00:00;1050.04;397.55;16.585;0.92;34.12116844;2.235863548
17.11.03 00:00;1043.26;391.05;18.7;0.93;33.80743771;2.228196489
18.11.03 00:00;1034.1;398.75;18.475;0.95;34.16031988;2.264194046
19.11.03 00:00;1042.35;395.05;19.08;0.94;34.34133825;2.250147678
20.11.03 00:00;1033.71;394.45;19.035;0.93;34.88778778;2.257710253
21.11.03 00:00;1035.17;396.05;19.11;0.93;34.89703463;2.259875145
24.11.03 00:00;1051.85;391.475;18.085;0.94;34.91707652;2.237268631
25.11.03 00:00;1054.02;391.25;17.135;0.97;34.91562227;2.241732568
26.11.03 00:00;1058.11;396.65;16.64;0.97;34.41155638;2.264730049
28.11.03 00:00;1058.42;398.15;16.39;0.96;34.77633846;2.270716567
01.12.03 00:00;1069.9;402.25;16.6;0.96;34.67032938;2.270252559
02.12.03 00:00;1066.43;403.25;16.53;0.96;33.84174015;2.284385265
03.12.03 00:00;1064.83;404.75;16.225;0.96;33.1407564;2.287424495
04.12.03 00:00;1069.86;402.75;16.56;0.94;31.37214512;2.280312665
05.12.03 00:00;1061.68;406.35;16.91;0.93;31.53862689;2.292496694
08.12.03 00:00;1069.02;406.75;17.055;0.94;30.86853939;2.302032252
09.12.03 00:00;1059.99;408.25;17.18;0.93;29.76550224;2.308172064
10.12.03 00:00;1058.79;405.45;17.925;0.92;29.92472192;2.302479363
11.12.03 00:00;1071.15;404.95;17.23;0.87;29.60865569;2.300536101
12.12.03 00:00;1074.13;408.85;16.535;0.88;29.65812213;2.305927655
15.12.03 00:00;1068.13;409.75;16.605;0.87;29.27879765;2.312560608
16.12.03 00:00;1074.96;407.25;16.675;0.88;29.73194785;2.312388222
17.12.03 00:00;1076.28;412.55;15.895;0.85;29.49524846;2.31771003
18.12.03 00:00;1088.95;410.75;15.425;0.86;29.47017283;2.322605201
19.12.03 00:00;1088.49;409.35;16.26;0.87;29.25293354;2.310751196
22.12.03 00:00;1092.71;410.05;16.96;0.88;28.5078867;2.309912947
23.12.03 00:00;1095.85;410.75;16.845;0.89;28.75477791;2.312543471
24.12.03 00:00;1094.05;412.05;16.505;0.87;27.88390225;2.329199819
26.12.03 00:00;1095.94;412.25;17.06;0.76;27.51214959;2.325046514
29.12.03 00:00;1109.06;414.575;17.465;0.79;28.48887288;2.332706276
30.12.03 00:00;1109.22;416.25;17.585;0.88;28.33380675;2.345609644
31.12.03 00:00;1110.95;415.45;18.135;0.9;28.55489287;2.351687131
02.01.04 00:00;1108.03;415.85;18.11;0.88;28.10439008;2.359617117
05.01.04 00:00;1121.69;423.65;17.965;0.88;27.62014579;2.379771057
06.01.04 00:00;1123.48;422.35;16.93;0.88;27.5978149;2.387318468
07.01.04 00:00;1126.04;420.55;16.125;0.88;27.52481994;2.377134341
