DATE,DTWEXB
2015-09-18,118.9863
2015-09-21,119.8306
2015-09-22,120.3969
2015-09-23,120.8519
2015-09-24,120.6567
2015-09-25,120.5671
2015-09-28,120.5989
2015-09-29,120.7097
2015-09-30,120.4811
2015-10-01,120.2147
2015-10-02,119.8832
2015-10-05,119.5856
2015-10-06,119.2755
2015-10-07,118.9134
2015-10-08,118.7432
2015-10-09,118.1381
2015-10-12,.
2015-10-13,118.4751
2015-10-14,118.1977
2015-10-15,117.6941
2015-10-16,118.0535
2015-10-19,118.4716
2015-10-20,118.4193
2015-10-21,118.8722
2015-10-22,119.1233
2015-10-23,119.4904
2015-10-26,119.2691
2015-10-27,119.5652
2015-10-28,119.3021
2015-10-29,119.8995
2015-10-30,119.2672
2015-11-02,119.2698
2015-11-03,119.2801
2015-11-04,119.7675
2015-11-05,119.8553
2015-11-06,120.7666
2015-11-09,121.0266
2015-11-10,121.0980
2015-11-11,.
2015-11-12,120.9459
2015-11-13,121.1950
2015-11-16,121.3746
2015-11-17,121.4747
2015-11-18,121.5267
2015-11-19,120.7266
2015-11-20,120.8985
2015-11-23,121.2538
2015-11-24,120.8769
2015-11-25,120.9955
2015-11-26,.
2015-11-27,121.4124
2015-11-30,121.4539
2015-12-01,121.2289
2015-12-02,121.4816
2015-12-03,120.7781
2015-12-04,120.6959
2015-12-07,121.5091
2015-12-08,121.7622
2015-12-09,121.4421
2015-12-10,121.5191
2015-12-11,122.0230
2015-12-14,122.0556
2015-12-15,122.1288
2015-12-16,122.2718
2015-12-17,123.1138
2015-12-18,122.5593
2015-12-21,122.6737
2015-12-22,122.4554
2015-12-23,122.4022
2015-12-24,122.3096
2015-12-25,.
2015-12-28,122.3251
2015-12-29,122.4385
2015-12-30,122.7849
2015-12-31,122.6098
2016-01-01,.
2016-01-04,123.5233
2016-01-05,123.6050
2016-01-06,124.0217
2016-01-07,124.0995
2016-01-08,124.4706
2016-01-11,124.4510
2016-01-12,124.7411
2016-01-13,124.5715
2016-01-14,124.8196
2016-01-15,125.1683
2016-01-18,.
2016-01-19,125.2142
2016-01-20,125.7850
2016-01-21,125.4479
2016-01-22,125.1949
2016-01-25,.
2016-01-26,.
2016-01-27,124.9370
2016-01-28,124.6428
2016-01-29,124.9654
2016-02-01,124.7581
2016-02-02,125.0253
2016-02-03,124.0865
2016-02-04,123.0112
2016-02-05,123.7216
2016-02-08,123.8584
2016-02-09,123.5738
2016-02-10,123.6929
2016-02-11,123.5964
2016-02-12,123.7319
2016-02-15,.
2016-02-16,123.8235
2016-02-17,123.2025
2016-02-18,123.2175
2016-02-19,123.2952
2016-02-22,123.1116
2016-02-23,123.4711
2016-02-24,123.4565
2016-02-25,123.2299
2016-02-26,123.6997
2016-02-29,123.5786
2016-03-01,123.2447
2016-03-02,123.1171
2016-03-03,122.5373
2016-03-04,121.8680
2016-03-07,121.8666
2016-03-08,122.0900
2016-03-09,121.6720
2016-03-10,121.6592
2016-03-11,121.0370
2016-03-14,121.4580
2016-03-15,121.8633
2016-03-16,122.0746
2016-03-17,119.6667
2016-03-18,119.6236
2016-03-21,119.9578
2016-03-22,119.9827
2016-03-23,120.7710
2016-03-24,121.0665
2016-03-25,121.0166
2016-03-28,120.6176
2016-03-29,120.6418
2016-03-30,119.4230
2016-03-31,119.0605
2016-04-01,119.4647
2016-04-04,119.5936
2016-04-05,120.1280
2016-04-06,119.7106
2016-04-07,120.0226
2016-04-08,119.5559
2016-04-11,119.1048
2016-04-12,118.9510
2016-04-13,119.3009
2016-04-14,119.3228
2016-04-15,119.3454
2016-04-18,119.1497
2016-04-19,118.4127
2016-04-20,118.5374
2016-04-21,119.0376
2016-04-22,119.4732
2016-04-25,119.4272
2016-04-26,118.9975
2016-04-27,119.0888
2016-04-28,118.3957
2016-04-29,118.0094
2016-05-02,117.8568
2016-05-03,118.5780
2016-05-04,119.2253
2016-05-05,119.4924
2016-05-06,119.6151
2016-05-09,120.2271
2016-05-10,120.1107
2016-05-11,119.5273
2016-05-12,119.9739
2016-05-13,120.5530
2016-05-16,120.4181
2016-05-17,120.3839
2016-05-18,120.8765
2016-05-19,121.6216
2016-05-20,121.5605
2016-05-23,121.6551
2016-05-24,121.6891
2016-05-25,121.5940
2016-05-26,121.2897
2016-05-27,121.4825
2016-05-30,.
2016-05-31,121.8591
2016-06-01,121.8750
2016-06-02,121.8721
2016-06-03,120.8090
2016-06-06,120.5756
2016-06-07,120.1920
2016-06-08,119.5125
2016-06-09,119.9386
2016-06-10,120.4457
2016-06-13,120.8667
2016-06-14,121.3693
2016-06-15,121.1161
2016-06-16,121.5760
2016-06-17,120.8906
2016-06-20,120.2313
2016-06-21,120.3712
2016-06-22,120.1139
2016-06-23,119.6094
2016-06-24,121.4301
2016-06-27,122.4244
2016-06-28,122.0156
2016-06-29,121.1017
2016-06-30,121.3810
2016-07-01,120.8807
2016-07-04,.
2016-07-05,121.6754
2016-07-06,121.7975
2016-07-07,121.8163
2016-07-08,121.6186
2016-07-11,121.7605
2016-07-12,121.3755
2016-07-13,121.2864
2016-07-14,121.0205
2016-07-15,121.5368
2016-07-18,121.5258
2016-07-19,121.9028
2016-07-20,121.9353
2016-07-21,121.8815
2016-07-22,122.2317
2016-07-25,122.4442
2016-07-26,122.3088
2016-07-27,122.4631
2016-07-28,121.9738
2016-07-29,121.0759
2016-08-01,121.1652
2016-08-02,120.8910
2016-08-03,121.1455
2016-08-04,121.0906
2016-08-05,121.5302
2016-08-08,121.3068
2016-08-09,120.8514
2016-08-10,120.4140
2016-08-11,120.2734
2016-08-12,120.2762
2016-08-15,119.9945
2016-08-16,119.4999
